,Unnamed: 0,0
275,275,PRYNESE
276,276,LAB-X
277,277,GOLDEN-RETRIEVER
278,278,Mini-Aussie-Mix
279,279,Italian-Greyhound
280,280,BOSTON-TERR
281,281,MIN-BOXER
282,282,Retreiver
283,283,bichon-frise
284,284,Greyhound
285,285,JACKABEE
286,286,RUSS
287,287,Miniature-Pinscher
288,288,SHIH
289,289,YELLOW-LAB
290,290,PAPILLON
291,291,AMERICAN-ESKIMO
292,292,Corgy
293,293,DACH-MIX
294,294,boston-terrier
295,295,Golden-Retreiver
296,296,Rat-Terrier
297,297,Toy-Poodle-Mix
298,298,MALTESE-MIX
299,299,YORKIE-MIX
300,300,Labrador-Retriever
301,301,mix-corgi
302,302,lab.-retriever
303,303,BOXER
304,304,PITT
305,305,YORKSHIRE
306,306,POODL
307,307,Ridgeback
308,308,Shih-Tsu
309,309,Springer-Terrier-Mix
310,310,Chocolate-Labrador
311,311,Border-Collie-Mix
312,312,SHIBA-INU
313,313,GERM-SHEPHERD
314,314,Lab.
315,315,Maltes
316,316,WHEATON-TERRIER
317,317,KING-CHARLES-CHU-MIX
318,318,BEA
319,319,GOLD
320,320,BIUCHON
321,321,POODLE-MIX
322,322,TERR--X
323,323,Pompoo
324,324,PITBULL-MIXED-RED
325,325,BLUE-NOSE
326,326,Lab-Mix
327,327,CORGI-X
328,328,AUS-SHEP
329,329,DACHSHUN
330,330,spaniel
331,331,terrier?
332,332,WESTIE
333,333,maltese-mix
334,334,terrier-mix
335,335,Jack-Russ-Mix
336,336,YORKISHIRETERRIER
337,337,MALTESE-MORKIE
338,338,Fr.Bull-Dog
339,339,LAB-MIX
340,340,Jack-Russel
341,341,GERM-SHEPHERD-MIX
342,342,Bischon-Mix
343,343,Cav-King-Ch-Sp
344,344,Australian-Cattle-Dog
345,345,Bichon-Frise
346,346,Poodle-Terrier
347,347,Retriever-Mixed
348,348,YorkshireTerrier
349,349,GOLD-RETR
350,350,CHOW
351,351,Schanuzer
352,352,corgi
353,353,akita
354,354,poodle-mix
355,355,JAP-CHIN
356,356,Cavalier-King-Charles
357,357,JACK-RUSS
358,358,Jack-Russell-Mix
359,359,Chihuhahu
360,360,Dogo
361,361,Pitbull
362,362,Mini-Poodle-Mix
363,363,SHEPHERD-X
364,364,Miniature-Pinscher-Mix
365,365,Scott-Terr
366,366,SPANIEL-MIX
367,367,Bichon-Mix
368,368,shitzu
369,369,PIT
370,370,LAB---X
371,371,bichon
372,372,shihtzu
373,373,SHITZU
374,374,POM
375,375,Dalmation
376,376,Yorkie-Mix---Morkie
377,377,Pug--(Chug)
378,378,Shitzu
379,379,SHEPHERD
380,380,ROTTIX
381,381,SHARPEI-MIX
382,382,Akita-Crossbreed
383,383,Labrador-Retriever-Crossbreed
384,384,Dachshund-Smooth-Coat
385,385,"Bull-Dog,-French"
386,386,Dachshund-Smooth-Coat-Miniature
387,387,German-Shepherd-Dog
388,388,Cavalier-King-Charles-Spaniel
389,389,"Poodle,-Standard"
390,390,German-Shorthaired-Pointer
391,391,Bull-Terrier
392,392,"Dachshund,-Long-Haired"
393,393,"Schnauzer,-Miniature"
394,394,Norfolk-Terrier
395,395,"Collie,-Border"
396,396,"Poodle,-Miniature"
397,397,Kooikerhondje
398,398,"Bull-Dog,-English"
399,399,American-Eskimo-dog
400,400,"Collie,-Smooth-Coat"
401,401,French-Bulldog
402,402,"Poodle,-Toy"
403,403,Bulldog
404,404,Labradoodle
405,405,Shiba-Inu
406,406,"Dachshund,-Long-Haired-Miniature"
407,407,American-Staffordshire-Terrier
408,408,German-Shepherd-Crossbreed
409,409,Chinese-Crested
410,410,Anatolian-Shepherd-Dog
411,411,Manchester-Terrier
412,412,Border-Terrier
413,413,Vizsla
414,414,Beagle-Crossbreed
415,415,Australian-Cattledog
416,416,Weimaraner
417,417,Brussels-Griffon
418,418,Wire-Fox-Terrier
419,419,"Mastiff,-Bull"
420,420,German-Wirehaired-Pointer
421,421,Shetland-Sheepdog
422,422,English-Setter
423,423,"Welsh-Corgi,-Cardigan"
